_ (Å),Ion,Ei (eV),Ek (eV),Configurations,Terms,Ji - Jk,Type  (if not E1),Creation IP (eV),Observation References,Note
8236.79,He II,52.241,53.746,,,,,54.42,OF96,
8392.397,Pa20,12.088,13.564,20-Mar,,,,0,O90,
8413.318,Pa19,12.088,13.561,19-Mar,,,,0,O90,
8437.956,Pa18,12.088,13.556,18-Mar,,,,0,O90,
8446.359,O I,9.521,10.989,2s22p3(4S0)3s - 2s22p3(4S0)3p,3S0 - 3P,2-Jan,,0,P88,
8467.254,Pa17,12.088,13.551,17-Mar,,,,0,O90,
8498.02,Ca II,1.692,3.151,3p63d - 3p64p,2D - 2P0,3/2 - 3/2,,6.11,P88,
8502.483,Pa16,12.088,13.545,16-Mar,,,,0,O90,
8542.09,Ca II,1.7,3.151,3p63d - 3p64p,2D - 2P0,5/2 - 3/2,,6.11,P88,
8545.383,Pa15,12.088,13.538,15-Mar,,,,0,O90,
8578.7,[Cl II],0,1.445,3s23p4 - 3s23p4,3P - 1D,2-Feb,M1,12.97,OF96,
8598.392,Pa14,12.088,13.529,14-Mar,,,,0,O90,
8616.95,[Fe II],0.232,1.671,3p63d7 - 3p63d7 ,a 4F - a 4P,9/2 - 5/2,E2,7.87,OF96,
8662.14,Ca II,1.692,3.123,3p63d - 3p64p,2D - 2P0,3/2 - 1/2,,6.11,P88,
8665.019,Pa13,12.088,13.518,13-Mar,,,,0,O90,
8680.282,N I,10.336,11.764,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4D0,5/2 - 7/2,,0,O90,
8703.247,N I,10.326,11.75,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4D0,1/2 - 1/2,,0,O90,
8711.703,N I,10.33,11.753,2s22p2(3P)3s - 2s22p2(3P)3p,4P - 4D0,3/2 - 3/2,,0,O90,
8750.472,Pa12,12.088,13.504,12-Mar,,,,0,O90,
8862.782,Pa11,12.088,13.486,11-Mar,,,,0,O90,
8891.91,[Fe II],0.301,1.695,3p63d7 - 3p63d7,a 4F - a 4P,7/2 - 3/2,E2,7.87,O90,
9014.909,Pa10,12.088,13.462,10-Mar,,,,0,O90,
9068.6,[S III],0.037,1.404,3s23p2 - 3s23p2,3P - 1D,2-Jan,M1,23.33,OF96,
9229.014,Pa9,12.088,13.431,9-Mar,,,,0,O90,
9531.1,[S III],0.103,1.404,3s23p2 - 3s23p2,3P - 1D,2-Feb,M1,23.33,,
9545.969,Pa_,12.088,13.386,8-Mar,,,,0,O90,
9824.13,[C I],0.002,1.264,2s22p2 - 2s22p2,3P - 1D,2-Jan,M1,0,OF96,
9850.26,[C I],0.005,1.264,2s22p2 - 2s22p2,3P - 1D,2-Feb,M1,0,OF96,
9913,[S VIII],0,1.25,2s22p5 - 2s22p5,2P0 - 2P0,3/2 - 1/2,M1,280.93,OF96,
10027.73,He I,23.074,24.31,1s3d - 1s7f ,3D - 3F0,,,0,OF96,
10031.16,He I,23.074,24.31,1s3d - 1s7f ,1D - 1F0,3-Feb,,0,O90,
10049.368,Pa_,12.088,13.321,7-Mar,,,,0,O90,
10286.73,[S II],1.842,3.046,3s23p3 - 3s23p3,2D0 - 2P0,4-Apr,M1,10.36,OF96,
10320.49,[S II],1.845,3.046,3s23p3 - 3s23p3,2D0 - 2P0,4-Jun,M1,10.36,OF96,
10336.41,[S II],1.842,3.041,3s23p3 - 3s23p3,2D0 - 2P0,2-Apr,M1,10.36,O90,
10746.8,[Fe XIII],0,1.153,3s23p2 - 3s23p2,3P - 3P,0 - 1,M1,330.8,,
10830.34,He I,19.82,20.964,1s2s - 1s2p,3S - 3P0,2-Jan,,0,OF96,
10938.086,Pa_,12.088,13.221,6-Mar,,,,0,O90,
,,,,,,,,,,
,,,,,,,,,,
